model,attitude_change,collaboration,focusing,guided_discovery,interpersonal_effectiveness,strategy_for_change,understanding,average
Llama-3.2-1B-Instruct-1000,4.11,4.3,3.99,3.97,4.03,3.86,3.9,4.022857142857143
Llama-3.2-1B-Instruct-100,4.03,4.27,3.95,3.63,4.02,3.53,3.64,3.867142857142857
Llama-3.2-1B-Instruct-300,4.04,4.38,4.03,3.85,4.02,3.79,3.89,4.0
Llama-3.2-3B-Instruct-100,3.95,3.89,3.57,3.0,3.85,3.22,3.15,3.5185714285714282
Llama-3.2-3B-Instruct-300,3.91,3.83,3.46,2.92,3.73,2.93,3.02,3.3999999999999995
Qwen2.5-1.5B-Instruct-1000,4.05,4.28,4.0,3.7,3.95,3.58,3.58,3.8771428571428572
Qwen2.5-1.5B-Instruct-100,3.99,4.25,3.92,3.58,3.92,3.4,3.48,3.7914285714285714
Qwen2.5-1.5B-Instruct-300,4.11,4.33,3.98,3.84,3.97,3.74,3.67,3.948571428571429
Qwen2.5-3B-Instruct-1000,4.16,4.45,3.99,4.0,4.01,3.87,3.93,4.058571428571429
Qwen2.5-3B-Instruct-100,3.99,4.46,3.99,3.93,4.03,3.81,3.89,4.014285714285714
Qwen2.5-3B-Instruct-300,4.12,4.4,3.99,3.94,4.03,3.84,3.88,4.0285714285714285
Qwen2.5-7B-Instruct-100,4.11,4.53,4.03,4.02,4.08,3.88,3.91,4.08
Qwen2.5-7B-Instruct-300,4.2,4.52,4.03,4.06,4.05,3.95,3.96,4.11
Qwen3-0.6B-1000,3.75,3.95,3.78,3.41,3.69,3.26,3.36,3.6000000000000005
Qwen3-0.6B-100,2.44,2.63,2.55,1.92,2.64,1.46,2.19,2.2614285714285716
Qwen3-0.6B-300,3.65,3.68,3.64,3.03,3.68,2.84,3.09,3.3728571428571428
Qwen3-1.7B-100,3.17,3.44,3.33,2.94,3.46,2.49,2.91,3.1057142857142854
Qwen3-4B-100,4.05,4.39,3.92,3.98,3.97,3.61,3.78,3.957142857142857
Qwen3-4B-300,4.14,4.55,4.01,4.01,4.03,3.86,3.89,4.07
Qwen3-8B-100,3.83,4.13,3.78,3.82,3.8,3.39,3.61,3.7657142857142856
Qwen3-8B-300,4.12,4.51,4.08,4.02,4.03,3.87,3.91,4.077142857142857
